customer_id,gender,age,tenure,monthly_charges,contract_type,payment_method,churn
25795,Male,45,71,88.78,Month-to-Month,Credit Card,No
10860,Female,52,36,67.12,Month-to-Month,Net Banking,No
86820,Male,60,14,107.64,Month-to-Month,Net Banking,Yes
64886,Female,28,3,64.38,One Year,Debit Card,No
16265,Female,48,67,48.49,Two Year,Credit Card,Yes
92386,Male,66,19,109.6,Two Year,UPI,No
47194,Male,65,54,106.16,Two Year,UPI,No
97498,Female,56,69,36.4,Month-to-Month,Credit Card,Yes
54131,Female,53,10,22.6,Two Year,Net Banking,Yes
70263,Male,47,33,29.0,Month-to-Month,Debit Card,Yes
26023,Male,40,13,48.65,Two Year,UPI,No
51090,Male,36,51,117.23,Month-to-Month,Debit Card,No
77221,Female,29,32,75.85,Month-to-Month,UPI,No
74820,Female,32,24,57.33,Two Year,UPI,No
10769,Male,48,35,108.87,Two Year,Credit Card,Yes
69735,Female,60,70,65.31,One Year,UPI,No
72955,Female,54,40,51.52,One Year,Debit Card,No
74925,Male,54,54,114.12,Month-to-Month,Debit Card,No
77969,Male,32,44,104.95,One Year,Credit Card,No
15311,Female,46,62,104.37,One Year,UPI,No
93104,Female,67,68,71.23,Month-to-Month,Debit Card,Yes
63707,Male,60,33,98.94,Month-to-Month,Net Banking,No
95305,Male,43,56,37.94,Month-to-Month,Credit Card,Yes
38693,Male,61,36,77.32,One Year,Net Banking,No
81932,Male,19,54,118.38,Month-to-Month,Debit Card,Yes
35658,Male,37,19,49.1,Month-to-Month,Net Banking,No
94478,Female,32,43,99.44,Month-to-Month,Credit Card,No
28431,Female,69,12,69.05,Month-to-Month,Net Banking,No
12747,Female,21,11,23.98,One Year,Debit Card,No
69150,Female,39,70,96.3,One Year,Net Banking,No
75725,Male,67,12,36.86,Month-to-Month,Net Banking,No
94654,Male,55,41,83.15,Month-to-Month,Net Banking,Yes
45773,Male,40,25,28.57,Month-to-Month,UPI,No
77435,Female,43,3,114.69,Two Year,Debit Card,Yes
66886,Female,68,3,49.17,Month-to-Month,Net Banking,No
76803,Female,28,28,42.65,Month-to-Month,Debit Card,No
41551,Male,45,23,32.91,One Year,Net Banking,Yes
21394,Female,19,48,114.6,Month-to-Month,Credit Card,Yes
79092,Male,25,67,91.19,One Year,Credit Card,No
13890,Male,46,42,94.17,Month-to-Month,Credit Card,No
51606,Male,28,40,69.94,One Year,Net Banking,No
90038,Male,54,6,67.47,Month-to-Month,Debit Card,No
97313,Male,35,20,31.0,Month-to-Month,Credit Card,No
20627,Male,67,11,75.98,Month-to-Month,UPI,Yes
18792,Female,31,27,44.69,One Year,Credit Card,No
83969,Male,27,21,117.71,Two Year,Credit Card,Yes
53001,Male,52,13,99.66,Month-to-Month,UPI,No
86552,Female,26,35,61.3,One Year,Credit Card,No
33897,Male,52,47,35.13,One Year,Net Banking,No
78148,Female,28,28,98.53,Two Year,Net Banking,No
33483,Female,61,21,32.21,One Year,Credit Card,Yes
58555,Female,29,18,38.93,Month-to-Month,Debit Card,No
27159,Male,20,31,41.15,One Year,Debit Card,No
90077,Male,56,60,75.69,Month-to-Month,Credit Card,No
45920,Female,31,37,98.71,Month-to-Month,UPI,No
77121,Male,45,21,51.43,Month-to-Month,Net Banking,No
79479,Male,28,14,28.47,Two Year,Net Banking,No
99475,Female,56,60,66.45,Two Year,Net Banking,No
29457,Female,42,23,94.81,One Year,Credit Card,No
76557,Male,38,29,42.17,Two Year,Net Banking,No
87189,Female,27,47,41.99,One Year,Credit Card,No
88953,Female,60,30,114.72,Month-to-Month,Credit Card,Yes
62995,Female,32,38,115.42,Month-to-Month,Debit Card,Yes
50757,Male,36,27,119.05,Month-to-Month,UPI,No
19692,Male,65,15,100.77,Month-to-Month,UPI,No
55758,Male,39,59,38.82,Month-to-Month,UPI,No
82409,Female,38,3,41.2,Month-to-Month,Net Banking,Yes
81211,Male,69,10,54.02,One Year,Debit Card,No
75697,Female,61,17,51.81,Two Year,Debit Card,No
47065,Male,49,11,115.65,One Year,Credit Card,Yes
42606,Male,67,48,98.91,Two Year,Debit Card,No
21534,Female,40,5,92.4,Month-to-Month,Credit Card,Yes
50397,Male,30,69,38.6,Two Year,Debit Card,No
11016,Female,22,64,110.95,Month-to-Month,Credit Card,Yes
99789,Male,21,14,102.79,Month-to-Month,Net Banking,No
65591,Male,45,50,36.36,Two Year,Debit Card,Yes
99812,Female,31,26,107.12,Month-to-Month,UPI,No
33247,Female,25,69,47.22,Month-to-Month,Credit Card,Yes
34300,Female,26,7,28.09,Month-to-Month,Debit Card,No
84065,Male,68,16,85.68,One Year,Debit Card,Yes
92798,Male,52,55,85.38,Two Year,Credit Card,No
19268,Male,54,56,29.49,Month-to-Month,Debit Card,Yes
96807,Female,38,4,51.89,Two Year,UPI,No
22185,Female,35,48,119.28,Month-to-Month,Credit Card,No
73704,Female,50,17,87.84,Month-to-Month,Credit Card,No
96779,Male,25,36,93.01,Month-to-Month,Credit Card,Yes
49099,Male,68,70,41.29,One Year,Credit Card,No
18571,Female,66,38,27.88,Month-to-Month,Credit Card,Yes
48044,Male,34,62,47.69,Month-to-Month,UPI,No
61214,Female,60,48,44.89,Month-to-Month,Credit Card,No
71228,Male,48,10,43.45,Month-to-Month,UPI,No
58984,Male,51,36,39.28,One Year,UPI,Yes
50774,Female,23,29,77.48,Month-to-Month,UPI,No
12568,Male,39,4,52.81,Month-to-Month,Credit Card,No
72592,Male,31,44,102.03,Month-to-Month,UPI,Yes
77563,Female,20,56,38.39,Month-to-Month,Credit Card,No
12695,Female,29,42,66.46,One Year,UPI,No
58190,Male,53,13,21.37,Month-to-Month,Credit Card,No
15258,Female,29,46,68.17,Month-to-Month,Debit Card,No
97538,Male,62,33,25.58,Month-to-Month,Debit Card,No
49504,Female,19,21,117.77,Month-to-Month,UPI,No
43159,Male,19,57,99.06,Two Year,Net Banking,No
23986,Male,32,69,69.01,One Year,Net Banking,Yes
71858,Female,40,70,28.66,One Year,Debit Card,Yes
22666,Male,46,67,79.24,Month-to-Month,UPI,No
48660,Male,34,48,95.88,One Year,UPI,Yes
13561,Female,49,33,39.07,One Year,UPI,No
36854,Female,24,36,76.82,Month-to-Month,Net Banking,Yes
74505,Male,47,33,101.42,One Year,Debit Card,Yes
62251,Female,45,31,96.82,One Year,UPI,No
32662,Female,31,21,100.3,Month-to-Month,Debit Card,Yes
18392,Male,61,27,107.93,Month-to-Month,Debit Card,No
40535,Male,47,62,113.77,One Year,Credit Card,No
88603,Female,34,26,60.55,Month-to-Month,Net Banking,No
62256,Female,49,66,76.88,One Year,Debit Card,No
99135,Female,63,12,99.07,One Year,Credit Card,No
45222,Male,23,22,89.71,One Year,Net Banking,Yes
87373,Male,68,17,119.55,Month-to-Month,UPI,No
89575,Male,41,7,21.37,Month-to-Month,UPI,No
94651,Male,23,68,55.51,Month-to-Month,Credit Card,No
73335,Male,44,37,48.1,One Year,UPI,No
20965,Male,35,38,46.23,Two Year,Credit Card,Yes
34538,Male,41,11,42.25,One Year,Credit Card,No
80592,Female,54,1,90.91,Month-to-Month,UPI,Yes
18110,Female,41,25,28.48,Two Year,Net Banking,No
89309,Male,55,42,94.16,Two Year,Credit Card,Yes
37266,Male,51,52,89.34,Month-to-Month,Net Banking,No
62992,Male,57,24,45.08,Month-to-Month,Net Banking,No
92948,Female,64,53,45.28,One Year,Credit Card,Yes
16910,Male,32,56,82.89,One Year,Net Banking,No
10206,Female,28,63,96.22,Two Year,Credit Card,No
97054,Female,39,8,107.65,Month-to-Month,UPI,Yes
97897,Female,41,59,105.21,Month-to-Month,UPI,No
33419,Female,18,45,116.49,One Year,UPI,No
60636,Female,35,27,78.14,Two Year,UPI,Yes
60015,Male,61,52,110.87,Two Year,UPI,No
64268,Male,29,18,100.85,Two Year,Net Banking,No
97939,Female,60,16,109.47,Month-to-Month,Net Banking,No
28141,Male,45,66,21.16,One Year,Net Banking,No
90356,Female,57,5,116.59,Month-to-Month,Debit Card,Yes
81910,Female,24,3,67.35,Month-to-Month,Debit Card,Yes
66044,Male,40,70,99.82,Month-to-Month,Credit Card,Yes
77214,Male,38,7,32.72,One Year,Debit Card,Yes
43827,Male,51,50,59.59,Two Year,UPI,Yes
65820,Male,28,14,47.15,Month-to-Month,UPI,No
72623,Male,39,38,49.17,Month-to-Month,UPI,Yes
91734,Female,59,47,32.33,One Year,Credit Card,No
85450,Male,52,33,100.58,One Year,Credit Card,Yes
32299,Male,69,43,20.92,Two Year,Credit Card,No
53585,Male,46,29,51.25,Month-to-Month,Credit Card,No
74044,Female,59,57,37.44,Month-to-Month,Net Banking,Yes
52557,Male,45,5,78.9,Month-to-Month,Credit Card,Yes
59080,Female,35,60,45.43,Month-to-Month,Credit Card,No
12693,Male,31,70,45.9,Month-to-Month,Debit Card,No
79163,Male,35,2,68.83,Month-to-Month,Net Banking,No
35939,Female,45,70,85.27,Month-to-Month,UPI,No
58925,Male,41,43,32.13,Month-to-Month,Debit Card,No
52941,Male,25,4,37.55,Two Year,Credit Card,Yes
31834,Female,59,56,44.72,Month-to-Month,UPI,No
28047,Male,62,59,117.37,Month-to-Month,UPI,No
36105,Female,25,9,59.72,Two Year,UPI,Yes
85766,Female,21,3,79.9,One Year,Debit Card,Yes
25707,Female,44,48,44.15,One Year,Net Banking,No
31976,Female,53,43,69.05,One Year,Net Banking,No
54262,Female,22,1,27.41,One Year,UPI,No
33776,Male,50,57,23.47,Two Year,Credit Card,Yes
40080,Male,66,53,66.87,One Year,Net Banking,Yes
76842,Male,51,16,59.87,Two Year,Net Banking,No
71373,Female,47,51,33.69,Month-to-Month,Credit Card,No
16776,Female,25,55,88.76,Month-to-Month,Debit Card,Yes
65016,Female,56,1,119.29,Two Year,Debit Card,Yes
19474,Female,64,28,59.56,Month-to-Month,Credit Card,No
68053,Male,43,53,82.46,Two Year,Debit Card,No
31959,Male,54,58,116.3,Month-to-Month,UPI,No
15530,Female,51,60,103.15,Month-to-Month,Net Banking,Yes
